idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
190,0.4,0.07,0.32,success,1,905,22.625,1,9.6,500,12.5,179.67,0.274,27.194,8.75,0,197.19
191,0.4,0.07,0.36,timeout,0,1000,25.0,0,,0,0.0,179.66,0.322,74.404,8.72,0,197.19
192,0.4,0.09,0.08,timeout,0,1000,25.0,0,,0,0.0,179.92,0.121,1.382,8.72,0,197.19
193,0.4,0.09,0.12,success,1,829,20.725,1,8.0,500,12.5,178.6,0.086,6.55,8.81,0,197.19
194,0.4,0.09,0.16,success,1,788,19.7,1,7.1,500,12.5,179.57,0.108,10.031,8.78,0,197.19
195,0.4,0.09,0.2,success,1,838,20.95,1,8.35,500,12.5,179.8,0.144,17.453,8.79,0,197.19
196,0.4,0.09,0.24,timeout,0,1000,25.0,0,,0,0.0,179.53,0.192,91.075,8.81,0,197.19
197,0.4,0.09,0.28,timeout,0,1000,25.0,0,,0,0.0,179.72,0.236,73.25,8.83,0,197.19
198,0.4,0.09,0.32,timeout,0,1000,25.0,0,,0,0.0,179.95,0.283,69.669,8.84,0,197.19
199,0.4,0.09,0.36,timeout,0,1000,25.0,0,,0,0.0,179.65,0.329,84.67,8.83,0,197.19
200,0.4,0.11,0.08,timeout,0,1000,25.0,0,,0,0.0,179.98,0.128,1.368,8.83,0,197.19
201,0.4,0.11,0.12,success,1,928,23.2,1,10.6,500,12.5,179.67,0.087,7.697,8.81,0,197.19
202,0.4,0.11,0.16,success,1,833,20.825,1,8.225,500,12.5,179.36,0.113,11.66,8.73,0,197.19
203,0.4,0.11,0.2,success,1,902,22.55,1,9.775,500,12.5,179.77,0.153,22.918,8.78,0,197.19
204,0.4,0.11,0.24,timeout,0,1000,25.0,0,,0,0.0,179.62,0.25,122.61,8.77,0,197.19
205,0.4,0.11,0.28,timeout,0,1000,25.0,0,,0,0.0,179.93,0.247,113.8,8.8,0,197.19
206,0.4,0.11,0.32,timeout,0,1000,25.0,0,,0,0.0,179.98,0.293,98.804,8.79,0,197.19
207,0.4,0.11,0.36,timeout,0,1000,25.0,0,,0,0.0,179.79,0.337,113.337,8.74,0,197.19
208,0.4,0.13,0.08,timeout,0,1000,25.0,0,,0,0.0,179.95,0.13,1.495,8.76,0,197.19
209,0.4,0.13,0.12,timeout,0,1000,25.0,1,13.775,436,10.9,179.85,0.113,9.692,8.78,0,197.19
210,0.4,0.13,0.16,success,1,887,22.175,1,9.35,500,12.5,180.0,0.162,14.214,8.72,0,197.19
211,0.4,0.13,0.2,timeout,0,1000,25.0,0,,0,0.0,179.91,0.223,112.183,8.69,0,197.19
212,0.4,0.13,0.24,timeout,0,1000,25.0,0,,0,0.0,179.96,0.267,145.386,8.7,0,197.19
213,0.4,0.13,0.28,timeout,0,1000,25.0,0,,0,0.0,179.86,0.256,137.355,8.68,0,197.19
214,0.4,0.13,0.32,timeout,0,1000,25.0,0,,0,0.0,179.64,0.301,135.013,8.67,0,197.19
215,0.4,0.13,0.36,timeout,0,1000,25.0,0,,0,0.0,179.93,0.346,139.566,8.66,0,197.19
216,0.4,0.15,0.08,timeout,0,1000,25.0,0,,0,0.0,179.97,0.132,1.659,8.69,0,197.19
217,0.4,0.15,0.12,timeout,0,1000,25.0,1,19.45,218,5.45,179.97,0.111,11.735,8.69,0,197.19
218,0.4,0.15,0.16,success,1,957,23.925,1,11.2,500,12.5,179.81,0.121,16.233,8.68,0,197.19
219,0.4,0.15,0.2,timeout,0,1000,25.0,0,,0,0.0,179.88,0.223,125.405,8.63,0,197.19
220,0.4,0.15,0.24,timeout,0,1000,25.0,0,,0,0.0,179.96,0.273,156.519,8.64,0,197.19
221,0.4,0.15,0.28,timeout,0,1000,25.0,0,,0,0.0,179.96,0.28,154.268,8.66,0,197.19
222,0.4,0.15,0.32,timeout,0,1000,25.0,0,,0,0.0,179.99,0.316,150.504,8.65,0,197.19
223,0.4,0.15,0.36,timeout,0,1000,25.0,0,,0,0.0,179.92,0.371,148.983,8.62,0,197.19
